"Name","Number of raw reads","Classified reads","Chordate reads","Artificial reads","Unclassified reads","Microbial reads","Bacterial reads","Viral reads","Fungal reads","Protozoan reads"
"T100","10,422,447","70%","0%","0%","30%","70%","69.9%","0.0192%","0%","0%"
"T102","7,723,327","58.3%","0%","0%","41.7%","58.3%","58.2%","0.0191%","0%","0%"
"T11","428,045","51.3%","0%","0%","48.7%","51.3%","51.3%","0.00818%","0%","0%"
"T111","14,887,808","48.3%","0%","0%","51.7%","48.3%","48.1%","0.00904%","0%","0%"
"T112","2,973,385","44.4%","0%","0%","55.6%","44.3%","44.2%","0.0141%","0%","0%"
"T113","13,682,926","61.2%","0%","0%","38.8%","61.2%","61%","0.0128%","0%","0%"
"T12","8,897,321","64.2%","0%","0%","35.8%","64.2%","64.1%","0.00724%","0%","0%"
"T123","3,466,998","55.6%","0%","0%","44.4%","55.6%","55.5%","0.00539%","0%","0%"
"T124","2,747,546","53.6%","0%","0%","46.4%","53.6%","53.5%","0.00531%","0%","0%"
"T147","16,817,203","47%","0%","0%","53%","47%","46.9%","0.00511%","0%","0%"
"T148","5,828,037","54.5%","0%","0%","45.5%","54.5%","54.4%","0.0105%","0%","0%"
"T159","40,673,858","45.6%","0%","0%","54.4%","45.6%","45.2%","0.226%","0%","0%"
"T160","63,718,919","73.8%","0%","0%","26.2%","73.8%","73.7%","0.0383%","0%","0%"
"T161","10,345,315","58.5%","0%","0%","41.5%","58.5%","58.4%","0.00842%","0%","0%"
"T162","3,230,068","52.6%","0%","0%","47.4%","52.6%","52.5%","0.00808%","0%","0%"
"T170","10,577,361","61.7%","0%","0%","38.3%","61.7%","61.5%","0.109%","0%","0%"
"T172","5,153,279","37.6%","0%","0%","62.4%","37.6%","37.5%","0.0103%","0%","0%"
"T173","17,827,275","44.7%","0%","0%","55.3%","44.7%","44.6%","0.00703%","0%","0%"
"T183","9,796,301","35%","0%","0%","65%","34.9%","34.8%","0.0105%","0%","0%"
"T193","2,147,182","35.1%","0%","0%","64.9%","35%","34.9%","0.0151%","0%","0%"
"T197","371,413","58.8%","0%","0%","41.2%","58.8%","58.7%","0.00458%","0%","0%"
"T199","5,717,025","33.4%","0%","0%","66.6%","33.4%","33.3%","0.0122%","0%","0%"
"T206","1,388,229","49.5%","0%","0%","50.5%","49.5%","49.4%","0.0085%","0%","0%"
"T21","5,408,821","41.5%","0%","0%","58.5%","41.5%","41.3%","0.0193%","0%","0%"
"T213","8,085,374","41.8%","0%","0%","58.2%","41.8%","41.6%","0.00652%","0%","0%"
"T22","5,558,685","51.5%","0%","0%","48.5%","51.5%","51.3%","0.0072%","0%","0%"
"T23","5,541,812","64.1%","0%","0%","35.9%","64.1%","64.1%","0.00971%","0%","0%"
"T233","3,691,276","32.1%","0%","0%","67.9%","32%","31.8%","0.113%","0%","0%"
"T241","3,080,832","41.9%","0%","0%","58.1%","41.9%","41.8%","0.02%","0%","0%"
"T258","10,108,841","29%","0%","0%","71%","29%","28.9%","0.0233%","0%","0%"
"T269","55,273,570","31%","0%","0%","69%","30.9%","30.7%","0.0267%","0%","0%"
"T270","86,341,983","38.2%","0%","0%","61.8%","38.2%","38.1%","0.044%","0%","0%"
"T281","47,444,268","32%","0%","0%","68%","32%","31.7%","0.0328%","0%","0%"
"T282","12,883,197","29.7%","0%","0%","70.3%","29.7%","29.6%","0.0301%","0%","0%"
"T293","78,188,977","38.5%","0%","0%","61.5%","38.5%","38.4%","0.051%","0%","0%"
"T305","54,554,482","38.9%","0%","0%","61.1%","38.9%","38.7%","0.0319%","0%","0%"
"T317","40,765,038","38.8%","0%","0%","61.2%","38.8%","38.7%","0.0395%","0%","0%"
"T318","12,543,195","31.6%","0%","0%","68.4%","31.6%","31.4%","0.0214%","0%","0%"
"T34","15,204,212","57.7%","0%","0%","42.3%","57.7%","57.6%","0.0134%","0%","0%"
"T343","13,721,495","30.2%","0%","0%","69.8%","30.2%","30%","0.0368%","0%","0%"
"T344","14,155,968","34%","0%","0%","66%","34%","33.7%","0.0563%","0%","0%"
"T345","11,615,453","32.1%","0%","0%","67.9%","32.1%","31.9%","0.0397%","0%","0%"
"T348","434,740","57.6%","0%","0%","42.4%","57.6%","57.5%","0.00736%","0%","0%"
"T35","2,793,218","51.1%","0%","0%","48.9%","51.1%","50.9%","0.0119%","0%","0%"
"T45","14,631,101","31.8%","0%","0%","68.2%","31.7%","31.7%","0.0274%","0%","0%"
"T48","3,679,911","56.2%","0%","0%","43.8%","56.2%","56.1%","0.00505%","0%","0%"
"T58","1,320,352","45%","0%","0%","55%","45%","44.9%","0.00962%","0%","0%"
"T59","9,990,567","53.9%","0%","0%","46.1%","53.8%","53.6%","0.0068%","0%","0%"
"T60","2,563,933","40.7%","0%","0%","59.3%","40.6%","40.5%","0.019%","0%","0%"
"T780","2,087,353","98.4%","0%","0%","1.59%","97.9%","97.9%","0.00125%","0%","0%"
"T781","30,289","37.7%","0%","0%","62.3%","37.7%","37.7%","0.0231%","0%","0%"
"T9","5,360,323","58.4%","0%","0%","41.6%","58.4%","58.3%","0.0215%","0%","0%"